3, No+AC0-lagromory, Lagromory 20+AC0-3, Lagr20+AC0-3 plus cplex cuts
cont_rand_perc030_015_005_010_001_10_07.lp, 117.773121, 64.943553, 93.858959
cont_rand_perc030_015_005_010_001_10_08.lp, 0.58299, 0.505247, 1.154717
cont_rand_perc030_015_005_010_001_10_09.lp, 3600.045584, 3600.036199, 3600.027846
cont_rand_perc030_015_005_010_002_10_00.lp, 0.011357, 0.092171, 0.130065
cont_rand_perc030_015_005_010_002_10_01.lp, 3600.012038, 3600.011095, 3600.024003
cont_rand_perc030_015_005_010_002_10_02.lp, 3600.007881, 3600.033199, 3600.043235
cont_rand_perc030_015_005_010_002_10_03.lp, 0.160619, 0.424839, 0.986038
cont_rand_perc030_015_005_010_002_10_04.lp, 0.778156, 0.695572, 7.24489
cont_rand_perc030_015_005_010_002_10_05.lp, 3600.020487, 3600.011571, 3600.00557
cont_rand_perc030_015_005_010_002_10_06.lp, 0.076464, 0.280346, 2.818659
cont_rand_perc030_015_005_010_002_10_07.lp, 0.009547, 0.065266, 0.050487
cont_rand_perc030_015_005_010_002_10_08.lp, 9.771997, 19.945711, 14.380964
cont_rand_perc030_015_005_010_002_10_09.lp, 0.036989, 0.460079, 2.246583
cont_rand_perc030_015_005_010_004_10_00.lp, 831.083203, 2860.067324, 3221.439045
cont_rand_perc030_015_005_010_004_10_01.lp, 3600.00808, 3600.019134, 3600.025242
cont_rand_perc030_015_005_010_004_10_02.lp, 1.017244, 1.271674, 2.991213
cont_rand_perc030_015_005_010_004_10_03.lp, 0.276077, 0.527693, 2.579244
cont_rand_perc030_015_005_010_004_10_04.lp, 3600.059434, 3600.029897, 3600.03981
cont_rand_perc030_015_005_010_004_10_05.lp, 3600.151253, 3600.033166, 3600.092087
cont_rand_perc030_015_005_010_004_10_06.lp, 3600.050634, 3600.039701, 3600.080159
cont_rand_perc030_015_005_010_004_10_07.lp, 3600.041894, 3600.037836, 3600.01893
cont_rand_perc030_015_005_010_004_10_08.lp, 4.360836, 3.604195, 17.324605
cont_rand_perc030_015_005_010_004_10_09.lp, 3600.041649, 3600.084968, 3600.034161
cont_rand_perc030_015_008_010_001_10_00.lp, 0.054566, 0.314875, 1.611583
cont_rand_perc030_015_008_010_001_10_01.lp, 3600.013386, 3600.022827, 3600.039126
cont_rand_perc030_015_008_010_001_10_02.lp, 0.638215, 7.962486, 13.135848
cont_rand_perc030_015_008_010_001_10_03.lp, 0.507447, 0.515746, 6.264482
cont_rand_perc030_015_008_010_001_10_04.lp, 3600.017953, 3600.023454, 3600.013364
cont_rand_perc030_015_008_010_001_10_05.lp, 0.011982, 0.199695, 0.232387
cont_rand_perc030_015_008_010_001_10_06.lp, 15.350959, 1.17266, 10.51915
cont_rand_perc030_015_008_010_001_10_07.lp, 3600.01648, 7.173674, 3600.023368
cont_rand_perc030_015_008_010_001_10_08.lp, 56.666945, 51.649598, 41.327419
cont_rand_perc030_015_008_010_001_10_09.lp, 3600.018982, 3600.027993, 3600.028137
cont_rand_perc030_015_008_010_002_10_00.lp, 3600.063074, 3600.017086, 3600.050131
cont_rand_perc030_015_008_010_002_10_01.lp, 1.09596, 2.394403, 11.498834
cont_rand_perc030_015_008_010_002_10_02.lp, 3600.015428, 3600.044929, 3600.036085
cont_rand_perc030_015_008_010_002_10_03.lp, 0.110965, 2.281341, 6.258227
cont_rand_perc030_015_008_010_002_10_04.lp, 0.285116, 0.475567, 5.163251
cont_rand_perc030_015_008_010_002_10_05.lp, 0.022063, 0.431034, 0.778762
cont_rand_perc030_015_008_010_002_10_06.lp, 196.278265, 94.441515, 89.150479
cont_rand_perc030_015_008_010_002_10_07.lp, 1.026759, 0.989646, 11.101463
cont_rand_perc030_015_008_010_002_10_08.lp, 5.70018, 3.053809, 17.443648
cont_rand_perc030_015_008_010_002_10_09.lp, 0.327349, 0.295475, 3.706579
cont_rand_perc030_015_008_010_004_10_00.lp, 3600.055527, 3600.045098, 3600.020438
cont_rand_perc030_015_008_010_004_10_01.lp, 3600.011898, 3600.018848, 3600.031277
cont_rand_perc030_015_008_010_004_10_02.lp, 0.309108, 0.495651, 1339.55006
cont_rand_perc030_015_008_010_004_10_03.lp, 3.094318, 1.55554, 28.843345
cont_rand_perc030_015_008_010_004_10_04.lp, 7.099429, 7.203684, 28.415835
cont_rand_perc030_015_008_010_004_10_05.lp, 2.719925, 1.350113, 14.998951
cont_rand_perc030_015_008_010_004_10_06.lp, 3600.07299, 3600.074046, 3600.029784
cont_rand_perc030_015_008_010_004_10_07.lp, 20.056913, 3600.023695, 3600.025627
cont_rand_perc030_015_008_010_004_10_08.lp, 3600.018688, 3600.026839, 3600.009646
cont_rand_perc030_015_008_010_004_10_09.lp, 4.702801, 7.699973, 10.955674
cont_rand_perc040_015_010_010_001_10_00.lp, 1.489903, 6.111729, 22.617762
cont_rand_perc040_015_010_010_001_10_01.lp, 0.367581, 0.958532, 32.98626
cont_rand_perc040_015_010_010_001_10_02.lp, 0.024812, 0.80556, 6.866133
cont_rand_perc040_015_010_010_001_10_03.lp, 0.62028, 1.045885, 14.824891
cont_rand_perc040_015_010_010_001_10_04.lp, 1.30418, 0.829691, 10.560751
cont_rand_perc040_015_010_010_001_10_05.lp, 4.259104, 0.863749, 19.891883
cont_rand_perc040_015_010_010_001_10_06.lp, 0.948346, 1.048194, 9.171343
cont_rand_perc040_015_010_010_001_10_07.lp, 2.650146, 0.57093, 12.932998
cont_rand_perc040_015_010_010_001_10_08.lp, 1.570956, 0.856882, 12.705595
cont_rand_perc040_015_010_010_001_10_09.lp, 0.053663, 0.376718, 5.190421
cont_rand_perc040_015_010_010_002_10_00.lp, 40.693469, 39.552772, 34.152733
cont_rand_perc040_015_010_010_002_10_01.lp, 3600.03199, 3600.013388, 1738.517405
